#{"t_start": 1733087430.6528745, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
35.0,298,2.756913
180.0,593,5.910301
150.0,429,8.174969
60.0,336,9.931706
245.0,652,13.332003
80.0,592,16.400303
110.0,541,19.165833
200.0,818,23.327283
240.0,805,27.425649
260.0,589,30.440057
35.0,282,31.882288
55.0,409,33.988651
120.0,493,36.548663
600.0,993,41.637871
75.0,320,43.253536
135.0,447,45.541525
45.0,381,47.487968
45.0,409,49.589213
50.0,456,51.936964
260.0,1022,57.194561
105.0,390,59.196096
55.0,372,61.102101
55.0,284,62.559298
110.0,679,66.041786
300.0,516,68.682969
65.0,344,70.432773
110.0,441,72.696149
50.0,464,75.09416
45.0,376,77.023496
475.0,783,81.088751
235.0,643,84.451506
155.0,466,86.89454
105.0,364,88.802336
110.0,660,92.295353
80.0,289,93.820828
50.0,300,95.414645
135.0,415,97.605956
180.0,645,100.998655
460.0,732,104.850889
60.0,471,107.325202
75.0,349,109.159091
65.0,451,111.54658
230.0,617,114.803399
240.0,560,117.75322
100.0,491,120.38139
105.0,464,122.837787
55.0,469,125.302051
130.0,530,128.122028
55.0,353,130.023813
100.0,383,132.065497
65.0,311,133.754332
240.0,720,137.496364
210.0,722,141.254318
120.0,570,144.228248
120.0,418,146.401157
135.0,537,149.211749
415.0,977,154.332537
135.0,574,157.367473
395.0,988,162.563635
35.0,284,164.058774
155.0,521,166.806237
115.0,488,169.397779
45.0,283,170.925159
125.0,469,173.3731
80.0,287,174.798996
290.0,790,178.745304
85.0,485,181.154341
35.0,359,182.947943
320.0,676,186.312575
155.0,529,188.96368
85.0,455,191.236921
210.0,589,194.182992
125.0,518,196.765156
155.0,428,198.890943
445.0,857,203.211698
290.0,737,206.910508
35.0,335,208.628219
155.0,502,211.165752
155.0,461,213.473204
120.0,474,215.862219
210.0,589,218.817054
55.0,322,220.447684
65.0,300,221.936412
120.0,599,224.970737
275.0,744,228.722532
155.0,605,231.808849
100.0,516,234.409344
255.0,598,237.419138
60.0,454,239.711121
135.0,492,242.20464
155.0,502,244.760136
75.0,279,246.161364
75.0,441,248.389405
120.0,469,250.770209
280.0,697,254.289514
45.0,486,256.735015
275.0,506,259.276812
110.0,514,261.882945
110.0,486,264.378484
45.0,257,265.719775
150.0,510,268.327192
105.0,482,270.813331
170.0,605,273.90095
35.0,535,276.635058
120.0,506,279.177933
185.0,446,281.444912
55.0,361,283.27538
105.0,375,285.222593
110.0,279,286.65455
85.0,481,289.11385
80.0,354,290.888471
60.0,465,293.259805
210.0,529,295.954421
455.0,1041,301.212329
60.0,485,303.666552
25.0,351,305.438812
80.0,451,307.740373
135.0,513,310.346567
155.0,526,313.054272
45.0,305,314.582305
135.0,520,317.212564
65.0,361,319.10006
70.0,494,321.630583
140.0,476,324.096571
110.0,513,326.778419
425.0,638,330.078152
180.0,530,332.794247
80.0,384,334.756681
175.0,729,338.513003
180.0,450,340.85207
465.0,895,345.472813
155.0,523,348.197053
50.0,399,350.266841
20.0,338,352.028937
195.0,410,354.126601
50.0,291,355.640361
95.0,404,357.737028
125.0,309,359.341213
160.0,578,362.290097
75.0,418,364.465498
65.0,323,366.149005
130.0,366,368.063076
135.0,412,370.198821
230.0,751,374.075749
165.0,507,376.718804
165.0,732,380.546441
230.0,551,383.424979
155.0,590,386.489447
105.0,473,388.952775
185.0,599,392.09335
105.0,495,394.64336
60.0,442,396.931524
60.0,445,399.228176
110.0,504,401.8439
180.0,505,404.463688
390.0,904,409.169735
45.0,312,410.796627
90.0,416,412.93363
135.0,487,415.466979
45.0,429,417.710919
30.0,345,419.501122
180.0,595,422.608241
60.0,289,424.091917
55.0,318,425.753359
55.0,284,427.244576
50.0,432,429.446231
315.0,822,433.714348
80.0,295,435.248449
175.0,950,440.130028
120.0,494,442.748585
90.0,504,445.372808
50.0,540,448.211312
80.0,480,450.729197
60.0,367,452.664701
75.0,434,454.948539
30.0,305,456.521231
110.0,479,458.984116
130.0,527,461.732419
125.0,493,464.269449
85.0,388,466.290472
30.0,268,467.686318
45.0,291,469.208492
65.0,301,470.762947
110.0,385,472.769639
210.0,601,475.883508
125.0,379,477.878715
135.0,537,480.661572
155.0,475,483.144292
110.0,482,485.651847
180.0,566,488.58502
295.0,722,492.355098
135.0,489,494.917864
210.0,585,497.967895
215.0,683,501.505371
180.0,707,505.139969
105.0,290,506.6654
50.0,360,508.580426
170.0,665,512.025273
210.0,619,515.284386
50.0,298,516.836411
140.0,476,519.338022
180.0,768,523.364897
45.0,347,525.19185
15.0,274,526.601584
135.0,587,529.698404
50.0,403,531.83897
85.0,351,533.697952
560.0,896,538.407991
125.0,394,540.458978
60.0,450,542.789202
155.0,512,545.53269
85.0,290,547.06731
140.0,274,548.498061
225.0,818,552.851705
60.0,444,555.18534
75.0,311,556.824002
120.0,470,559.286232
120.0,527,562.059673
210.0,538,564.945817
180.0,549,567.862868
225.0,623,571.171221
80.0,514,573.925701
385.0,601,577.065118
145.0,723,580.875675
190.0,510,583.551922
150.0,532,586.432989
75.0,360,588.36392
70.0,282,589.881786
260.0,817,594.240037
95.0,474,596.7467
455.0,647,600.153027
175.0,683,603.805267
200.0,603,607.000319
35.0,388,609.077642
105.0,449,611.49748
185.0,626,614.794408
185.0,445,617.204537
150.0,753,621.29686
440.0,944,626.356915
430.0,749,630.326173
75.0,473,632.836885
135.0,499,635.503331
135.0,522,638.355106
205.0,591,641.490065
90.0,344,643.323223
110.0,377,645.372214
285.0,650,648.843184
85.0,571,651.858379
330.0,812,656.186278
180.0,511,658.887466
170.0,482,661.463322
75.0,477,664.00619
215.0,664,667.57225
290.0,770,671.722001
170.0,644,675.161839
80.0,298,676.791002
210.0,405,678.997506
160.0,668,682.555108
635.0,873,687.244121
130.0,288,688.782963
270.0,715,692.564428
125.0,477,695.08022
65.0,399,697.18402
410.0,644,700.613052
300.0,844,705.168754
75.0,307,706.783269
255.0,815,711.175832
135.0,552,714.096211
180.0,623,717.431372
140.0,537,720.324375
380.0,929,725.249921
140.0,511,727.993867
125.0,476,730.524957
120.0,405,732.714895
30.0,294,734.322429
35.0,288,735.827577
50.0,362,737.740208
120.0,476,740.261541
105.0,279,741.782786
110.0,390,743.890677
30.0,293,745.456866
135.0,368,747.430121
110.0,384,749.495521
105.0,512,752.211094
160.0,601,755.460951
225.0,483,758.067899
100.0,470,760.557364
155.0,472,763.081831
85.0,307,764.725162
85.0,362,766.675068
45.0,481,769.235988
180.0,585,772.365278
105.0,295,773.967146
170.0,833,778.394317
150.0,627,781.763587
185.0,601,785.011179
140.0,384,787.081409
95.0,268,788.52809
400.0,1001,793.88301
405.0,692,797.497408
210.0,662,801.038033
210.0,877,805.701019
180.0,447,808.100969
80.0,288,809.642751
110.0,446,812.059526
445.0,630,815.412981
210.0,629,818.821481
185.0,444,821.223981
110.0,523,824.009989
140.0,557,827.031352
410.0,832,831.525707
75.0,307,833.170551
300.0,670,836.754686
115.0,579,839.876383
140.0,484,842.515115
335.0,767,846.674106
260.0,701,850.442491
135.0,498,853.087771
135.0,397,855.241441
155.0,376,857.27775
135.0,463,859.76386
225.0,613,863.063067
80.0,288,864.603438
100.0,287,866.172055
210.0,528,869.044281
270.0,752,873.070057
45.0,283,874.622883
275.0,642,878.019152
260.0,627,881.398314
395.0,993,886.707165
155.0,579,889.850671
210.0,514,892.612617
155.0,496,895.30104
260.0,871,899.97605
155.0,507,902.647263
135.0,443,905.001558
105.0,431,907.320576
45.0,313,908.997101
110.0,386,911.038533
210.0,501,913.773319
155.0,523,916.525825
190.0,509,919.226996
165.0,587,922.335377
135.0,417,924.501314
295.0,720,928.365824
210.0,511,931.140175
90.0,468,933.61898
185.0,605,936.822686
135.0,530,939.665975
55.0,366,941.571123
135.0,432,943.822291
105.0,385,945.865198
155.0,453,948.332929
150.0,312,950.017912
105.0,473,952.590473
210.0,619,956.016229
90.0,294,957.603077
65.0,306,959.26252
80.0,377,961.295392
105.0,290,962.850751
315.0,770,967.033468
180.0,577,970.089155
285.0,817,974.489656
150.0,595,977.687631
225.0,551,980.691487
100.0,448,983.037066
135.0,344,984.924292
210.0,621,988.271909
135.0,486,990.935668
130.0,407,993.121065
240.0,560,996.085882
105.0,276,997.590817
260.0,555,1000.56119
290.0,599,1003.788993
80.0,381,1005.818832
210.0,418,1008.091977
110.0,386,1010.144136
240.0,589,1013.296754
170.0,405,1015.483049
255.0,622,1018.768054
445.0,1024,1024.22706
515.0,759,1028.276296
60.0,297,1029.831395
105.0,471,1032.358742
125.0,501,1035.028567
105.0,292,1036.629962
155.0,487,1039.278502
150.0,425,1041.591507
155.0,409,1043.818183
65.0,285,1045.375471
65.0,285,1046.92946
130.0,381,1048.991299
110.0,374,1051.038206
180.0,359,1053.015812
105.0,290,1054.645853
110.0,477,1057.287493
455.0,686,1061.036344
150.0,497,1063.794495
85.0,343,1065.638294
120.0,422,1067.955052
110.0,364,1069.957967
155.0,427,1072.316814
165.0,390,1074.494096
285.0,881,1079.329065
130.0,479,1081.903836
100.0,450,1084.359525
210.0,533,1087.260016
215.0,578,1090.448813
30.0,304,1092.12514
260.0,742,1096.292898
210.0,582,1099.570202
520.0,727,1103.564016
185.0,422,1105.931487
180.0,529,1108.861199
155.0,505,1111.597783
210.0,529,1114.50228
120.0,346,1116.384725
65.0,373,1118.399355
420.0,797,1122.732868
60.0,282,1124.272819
225.0,647,1127.819693
105.0,418,1130.098852
180.0,505,1132.884968
185.0,603,1136.155239
135.0,457,1138.632503
210.0,387,1140.75206
240.0,688,1144.444913
215.0,574,1147.58799
285.0,722,1151.459326
530.0,887,1156.29826
265.0,712,1160.115473
20.0,323,1161.883905
210.0,620,1165.319774
225.0,707,1169.143677
135.0,471,1171.733595
225.0,678,1175.454599
105.0,498,1178.149062
410.0,705,1181.977642
125.0,372,1184.034245
440.0,691,1187.790502
240.0,650,1191.413348
80.0,280,1192.959263
225.0,613,1196.326138
85.0,275,1197.845391
210.0,526,1200.748267
420.0,868,1205.488081
215.0,543,1208.565583
180.0,438,1211.018934
135.0,304,1212.716587
155.0,494,1215.462041
105.0,294,1217.075352
270.0,1019,1222.711628
45.0,300,1224.43319
210.0,660,1228.017554
355.0,605,1231.347793
135.0,452,1233.800634
700.0,768,1238.00732
155.0,463,1240.57456
155.0,373,1242.617471
155.0,589,1245.889875
355.0,1018,1251.467433
105.0,329,1253.282625
225.0,648,1256.838919
130.0,392,1259.019083
255.0,730,1263.078692
125.0,408,1265.312923
155.0,497,1268.001658
90.0,307,1269.710041
180.0,455,1272.206271
225.0,597,1275.489966
125.0,297,1277.147149
125.0,567,1280.247913
225.0,577,1283.419792
260.0,615,1286.843283
135.0,506,1289.663782
215.0,683,1293.377217
210.0,548,1296.361479
65.0,362,1298.333377
65.0,370,1300.389699
120.0,421,1302.706227
120.0,561,1305.793418
65.0,374,1307.85179
210.0,525,1310.756908
460.0,725,1314.758506
180.0,541,1317.756757
230.0,579,1320.973501
125.0,648,1324.512633
210.0,554,1327.5674
410.0,617,1330.962294
210.0,603,1334.341755
60.0,379,1336.440971
65.0,271,1337.958298
180.0,502,1340.750787
160.0,542,1343.788133
135.0,459,1346.32532
210.0,586,1349.624139
210.0,544,1352.686029
100.0,463,1355.237182
