#{"t_start": 1733160959.42986, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
35.0,298,2.551342
180.0,593,5.519923
150.0,429,7.678987
60.0,336,9.356027
245.0,652,12.599692
80.0,592,15.558237
110.0,541,18.271778
200.0,818,22.352312
240.0,805,26.376457
260.0,589,29.33324
35.0,282,30.741073
55.0,409,32.779052
120.0,493,35.257365
600.0,993,40.237561
75.0,320,41.837227
135.0,447,44.086303
45.0,381,45.995002
45.0,409,48.054014
50.0,456,50.353721
260.0,1022,55.514015
105.0,390,57.47357
55.0,372,59.346248
55.0,284,60.77736
110.0,679,64.205323
300.0,516,66.817241
65.0,344,68.545604
110.0,441,70.765323
50.0,464,73.10644
45.0,376,75.005004
475.0,783,78.970298
235.0,643,82.211411
155.0,466,84.526116
105.0,364,86.337213
110.0,660,89.642721
80.0,289,91.084151
50.0,300,92.592552
135.0,415,94.685584
180.0,645,97.940594
460.0,732,101.658318
60.0,471,104.041683
75.0,349,105.802575
65.0,451,108.095038
230.0,617,111.229439
240.0,560,114.063111
100.0,491,116.591396
105.0,464,118.93127
55.0,469,121.267011
130.0,530,123.926736
55.0,353,125.706257
100.0,383,127.627547
65.0,311,129.199586
240.0,720,132.787102
210.0,722,136.435815
120.0,570,139.326027
120.0,418,141.423873
135.0,537,144.148207
415.0,977,149.129629
135.0,574,152.09086
395.0,988,157.179034
35.0,284,158.617076
155.0,521,161.292759
115.0,488,163.815255
45.0,283,165.302483
125.0,469,167.712365
80.0,287,169.100148
290.0,790,172.974854
85.0,485,175.336021
35.0,359,177.083528
320.0,676,180.396715
155.0,529,182.994921
85.0,455,185.227735
210.0,589,188.099167
125.0,518,190.596312
155.0,428,192.680911
445.0,857,196.915626
290.0,737,200.531173
35.0,335,202.209713
155.0,502,204.681173
155.0,461,206.95207
120.0,474,209.284199
210.0,589,212.182817
55.0,322,213.776116
65.0,300,215.23916
120.0,599,218.21239
275.0,744,221.875637
155.0,605,224.868799
100.0,516,227.398718
255.0,598,230.321489
60.0,454,232.533345
135.0,492,234.928846
155.0,502,237.392818
75.0,279,238.750699
75.0,441,240.9061
120.0,469,243.197269
280.0,697,246.592564
45.0,486,248.95691
275.0,506,251.412368
110.0,514,253.926162
110.0,486,256.320141
45.0,257,257.612577
150.0,510,260.123342
105.0,482,262.495623
170.0,605,265.43907
35.0,535,268.039562
120.0,506,270.515838
185.0,446,272.723285
55.0,361,274.514602
105.0,375,276.412472
110.0,279,277.818022
85.0,481,280.224097
80.0,354,281.965601
60.0,465,284.270478
210.0,529,286.906115
455.0,1041,292.028047
60.0,485,294.42759
25.0,351,296.152616
80.0,451,298.3711
135.0,513,300.913575
155.0,526,303.559458
45.0,305,305.045755
135.0,520,307.61195
65.0,361,309.437716
70.0,494,311.886851
140.0,476,314.265726
110.0,513,316.842786
425.0,638,320.028169
180.0,530,322.654528
80.0,384,324.554187
175.0,729,328.166902
180.0,450,330.441761
465.0,895,334.899675
155.0,523,337.514964
50.0,399,339.519674
20.0,338,341.218616
195.0,410,343.249345
50.0,291,344.713366
95.0,404,346.750446
125.0,309,348.303056
160.0,578,351.154117
75.0,418,353.270793
65.0,323,354.906654
130.0,366,356.765071
135.0,412,358.825726
230.0,751,362.587853
165.0,507,365.137295
165.0,732,368.838235
230.0,551,371.642104
155.0,590,374.597205
105.0,473,376.972304
185.0,599,380.005451
105.0,495,382.493539
60.0,442,384.726533
60.0,445,386.975865
110.0,504,389.5187
180.0,505,392.067202
390.0,904,396.627198
45.0,312,398.202164
90.0,416,400.288069
135.0,487,402.745264
45.0,429,404.91351
30.0,345,406.647486
180.0,595,409.671777
60.0,289,411.125252
55.0,318,412.747909
55.0,284,414.201538
50.0,432,416.351275
315.0,822,420.532346
80.0,295,422.040665
175.0,950,426.812808
120.0,494,429.363987
90.0,504,431.907032
50.0,540,434.659282
80.0,480,437.105401
60.0,367,438.97194
75.0,434,441.155879
30.0,305,442.654215
110.0,479,445.065387
130.0,527,447.734285
125.0,493,450.202883
85.0,388,452.167855
30.0,268,453.527747
45.0,291,454.998544
65.0,301,456.517194
110.0,385,458.460254
210.0,601,461.491458
125.0,379,463.431419
135.0,537,466.127386
155.0,475,468.530133
110.0,482,470.9682
180.0,566,473.812447
295.0,722,477.463816
135.0,489,479.96628
210.0,585,482.932729
215.0,683,486.375508
180.0,707,489.926948
105.0,290,491.419906
50.0,360,493.292766
170.0,665,496.646831
210.0,619,499.815984
50.0,298,501.312702
140.0,476,503.73791
180.0,768,507.626873
45.0,347,509.383754
15.0,274,510.75358
135.0,587,513.753549
50.0,403,515.834787
85.0,351,517.627812
560.0,896,522.20306
125.0,394,524.205787
60.0,450,526.471704
155.0,512,529.134595
85.0,290,530.619435
140.0,274,532.006594
225.0,818,536.214238
60.0,444,538.481388
75.0,311,540.069141
120.0,470,542.440548
120.0,527,545.134128
210.0,538,547.938923
180.0,549,550.776539
225.0,623,553.977455
80.0,514,556.646717
385.0,601,559.68913
145.0,723,563.414408
190.0,510,566.028057
150.0,532,568.817966
75.0,360,570.690252
70.0,282,572.168343
260.0,817,576.400096
95.0,474,578.836693
455.0,647,582.15745
175.0,683,585.710194
200.0,603,588.81223
35.0,388,590.835903
105.0,449,593.181105
185.0,626,596.386569
185.0,445,598.720418
150.0,753,602.711065
440.0,944,607.614966
430.0,749,611.469397
75.0,473,613.902057
135.0,499,616.487108
135.0,522,619.257283
205.0,591,622.3012
90.0,344,624.084437
110.0,377,626.071888
285.0,650,629.431766
85.0,571,632.349411
330.0,812,636.522221
180.0,511,639.133034
170.0,482,641.632441
75.0,477,644.082495
215.0,664,647.524821
290.0,770,651.547064
170.0,644,654.851341
80.0,298,656.420636
210.0,405,658.541033
160.0,668,662.001151
635.0,873,666.576392
130.0,288,668.070874
270.0,715,671.761986
125.0,477,674.2235
65.0,399,676.267224
410.0,644,679.601283
300.0,844,684.045432
75.0,307,685.60662
255.0,815,689.861112
135.0,552,692.703621
180.0,623,695.930933
140.0,537,698.766936
380.0,929,703.596316
140.0,511,706.281611
125.0,476,708.745551
120.0,405,710.874316
30.0,294,712.428245
35.0,288,713.879441
50.0,362,715.735898
120.0,476,718.195898
105.0,279,719.676059
110.0,390,721.719698
30.0,293,723.236539
135.0,368,725.149131
110.0,384,727.160563
105.0,512,729.81655
160.0,601,732.978118
225.0,483,735.526189
100.0,470,737.949816
155.0,472,740.421427
85.0,307,742.029361
85.0,362,743.93786
45.0,481,746.441622
180.0,585,749.519145
105.0,295,751.088862
170.0,833,755.432534
150.0,627,758.748401
185.0,601,761.939114
140.0,384,763.962045
95.0,268,765.375569
400.0,1001,770.628575
405.0,692,774.197379
210.0,662,777.651802
210.0,877,782.210049
180.0,447,784.543344
80.0,288,786.042941
110.0,446,788.40286
445.0,630,791.693282
210.0,629,795.019047
185.0,444,797.36763
110.0,523,800.083121
140.0,557,803.042125
410.0,832,807.438754
75.0,307,809.051214
300.0,670,812.562316
115.0,579,815.623056
140.0,484,818.209669
335.0,767,822.291159
260.0,701,825.977838
135.0,498,828.564983
135.0,397,830.688389
