#{"t_start": 1733286343.4925592, "env_id": "Pusher-v5"}
r,l,t
-114.977073,100,0.564456
-121.951805,100,0.60753
-123.320266,100,0.653296
-110.50996,100,0.69664
-119.955715,100,0.741964
-114.202472,100,0.785107
-128.880115,100,0.830436
-115.512437,100,0.873467
-118.328038,100,0.915876
-120.589927,100,0.961604
-111.78088,100,1.004112
-120.755399,100,1.048557
-125.632538,100,1.090719
-117.303211,100,1.13526
-116.377917,100,1.177432
-120.629162,100,1.219456
-121.813355,100,1.26449
-115.077324,100,1.306426
-120.165741,100,1.35104
-129.263496,100,1.392899
-123.45934,100,2.025958
-114.483584,100,2.070196
-113.748278,100,2.112672
-117.785941,100,2.156716
-123.501648,100,2.200515
-114.793858,100,2.245491
-124.676743,100,2.290236
-113.268504,100,2.332711
-111.143315,100,2.376873
-120.551843,100,2.419101
-127.242066,100,2.462462
-119.044038,100,2.50505
-121.917034,100,2.547233
-117.3193,100,2.5914
-116.122184,100,2.6338
-126.42388,100,2.677294
-114.714203,100,2.71975
-125.336672,100,2.761507
-130.830499,100,2.805926
-129.228741,100,2.847899
-115.417536,100,3.400722
-121.874464,100,3.443939
-119.226568,100,3.488725
-121.102694,100,3.531205
-113.203108,100,3.573693
-115.284172,100,3.620083
-119.928357,100,3.663723
-100.288539,100,3.716227
-107.390423,100,3.766813
-119.178831,100,3.812934
-117.361265,100,3.856347
-117.730758,100,3.90145
-106.111383,100,3.944875
-118.477458,100,3.98982
-126.375455,100,4.033177
-112.481735,100,4.076487
-103.089833,100,4.121201
-124.011902,100,4.164376
-124.365565,100,4.209939
-121.147027,100,4.253363
-126.080049,100,4.298324
-124.369736,100,4.85998
-115.087729,100,4.905318
-125.010587,100,4.948932
-118.662962,100,4.992482
-128.720312,100,5.037678
-105.797915,100,5.081118
-118.556373,100,5.126074
-124.284432,100,5.16942
-115.577437,100,5.214441
-112.144871,100,5.257938
-115.33873,100,5.303482
-130.900295,100,5.347068
-116.22228,100,5.39054
-117.615004,100,5.435483
-111.74911,100,5.478966
-122.651309,100,5.523648
-111.320754,100,5.567551
-107.366121,100,5.613264
-121.970746,100,5.656767
-116.218969,100,5.700155
-134.277261,100,6.249326
-106.533207,100,6.293725
-111.037015,100,6.339713
-123.929773,100,6.383814
-111.807051,100,6.428879
-126.108033,100,6.472872
-120.15448,100,6.516495
-124.526092,100,6.562004
-123.119686,100,6.605264
-104.515802,100,6.650265
-124.865172,100,6.693652
-120.082736,100,6.738966
-100.904577,100,6.782733
-112.753494,100,6.827192
-114.026462,100,6.870978
-104.290051,100,6.914372
-103.253461,100,6.960187
-116.946066,100,7.006461
-115.458439,100,7.053118
-106.044874,100,7.096948
-128.877736,100,7.141377
-113.46735,100,7.698797
-101.836062,100,7.745111
-118.127786,100,7.789971
-131.964481,100,7.834285
-110.532365,100,7.880012
-116.983732,100,7.923945
-114.289211,100,7.969469
-138.312774,100,8.013467
-122.530358,100,8.058324
-117.567097,100,8.102659
-108.464879,100,8.147659
-115.888837,100,8.19216
-120.812895,100,8.236215
-98.304818,100,8.2844
-113.210847,100,8.32826
-110.667563,100,8.373479
-125.093031,100,8.41785
-120.192521,100,8.46321
-105.060679,100,8.50726
-119.513915,100,8.55248
-127.695304,100,9.235436
-100.322998,100,9.282984
-117.112066,100,9.328114
-129.400557,100,9.374274
-104.626165,100,9.419892
-119.860515,100,9.465993
-122.104466,100,9.511182
-115.574878,100,9.558253
-106.678601,100,9.605713
-110.645942,100,9.650318
-110.078726,100,9.697263
-121.369827,100,9.742798
-120.66849,100,9.789329
-116.61136,100,9.833923
-129.154201,100,9.87972
-111.479827,100,9.924803
-109.811084,100,9.970129
-105.931365,100,10.015359
-128.769839,100,10.059355
-122.958156,100,10.106001
-125.671943,100,10.150408
-94.504605,100,10.717952
-128.88397,100,10.763549
-132.33913,100,10.809654
-111.183842,100,10.855123
-113.908104,100,10.901776
-117.101934,100,10.947151
-117.08838,100,10.993608
-120.044971,100,11.038879
-109.553842,100,11.082917
-121.10136,100,11.129886
-119.146488,100,11.173841
-101.347978,100,11.222582
-126.981862,100,11.269446
-131.380564,100,11.318111
-115.217228,100,11.364959
-107.733158,100,11.412637
-110.516298,100,11.459206
-115.56457,100,11.505589
-129.20379,100,11.550977
-124.093346,100,11.596767
-121.102231,100,12.162882
-120.847802,100,12.210222
-109.499684,100,12.256714
-106.243196,100,12.302407
-107.244384,100,12.349861
-108.32005,100,12.395135
-107.424082,100,12.441841
-106.72995,100,12.4871
-100.085317,100,12.532925
-121.376707,100,12.576149
-102.34932,100,12.621035
-110.538236,100,12.664151
-108.068538,100,12.707227
-100.611028,100,12.752211
-110.253659,100,12.797325
-110.246049,100,12.84142
-117.854585,100,12.883117
-104.331749,100,12.927173
-113.258919,100,12.968858
-103.131938,100,13.010589
-122.6551,100,13.055166
-124.365555,100,13.601309
-101.673058,100,13.648502
-97.54273,100,13.694617
-111.02701,100,13.742368
-100.643841,100,13.788638
-101.973491,100,13.835728
-105.620161,100,13.882067
-104.868036,100,13.927653
-110.968455,100,13.975248
-97.878706,100,14.020863
-132.505963,100,14.067294
-121.84596,100,14.112852
-118.121721,100,14.158726
-120.245039,100,14.20475
-112.570622,100,14.251652
-108.620333,100,14.297401
-126.670366,100,14.343661
-120.860751,100,14.396854
-108.418877,100,14.444286
-100.689548,100,14.487327
-101.859499,100,15.060733
-117.177118,100,15.105808
-114.406436,100,15.150226
-104.421934,100,15.19634
-89.030706,100,15.240849
-107.9064,100,15.287215
-111.297349,100,15.331635
-106.478517,100,15.37733
-115.610583,100,15.421751
-110.5072,100,15.46734
-112.998001,100,15.511862
-119.442642,100,15.55579
-123.062756,100,15.601688
-99.364898,100,15.645867
-99.704089,100,15.691771
-92.265101,100,15.736851
